"MMM","Industrials"
"AOS","Industrials"
"ABT","Health Care"
"ABBV","Health Care"
"ACN","Information Technology"
"ATVI","Information Technology"
"AYI","Industrials"
"ADBE","Information Technology"
"AAP","Consumer Discretionary"
"AMD","Information Technology"
"AES","Utilities"
"AMG","Financials"
"AFL","Financials"
"A","Health Care"
"APD","Materials"
"AKAM","Information Technology"
"ALK","Industrials"
"ALB","Materials"
"ARE","Real Estate"
"ALGN","Health Care"
"ALLE","Industrials"
"ADS","Information Technology"
"LNT","Utilities"
"ALL","Financials"
"GOOGL","Information Technology"
"GOOG","Information Technology"
"MO","Consumer Staples"
"AMZN","Consumer Discretionary"
"AEE","Utilities"
"AAL","Industrials"
"AEP","Utilities"
"AXP","Financials"
"AIG","Financials"
"AMT","Real Estate"
"AWK","Utilities"
"AMP","Financials"
"ABC","Health Care"
"AME","Industrials"
"AMGN","Health Care"
"APH","Information Technology"
"ADI","Information Technology"
"ANSS","Information Technology"
"ANTM","Health Care"
"AON","Financials"
"APA","Energy"
"AIV","Real Estate"
"AAPL","Information Technology"
"AMAT","Information Technology"
"APTV","Consumer Discretionary"
"ADM","Consumer Staples"
"AJG","Financials"
"AIZ","Financials"
"T","Telecommunication Services"
"ADSK","Information Technology"
"ADP","Information Technology"
"AZO","Consumer Discretionary"
"AVB","Real Estate"
"AVY","Materials"
"BLL","Materials"
"BAC","Financials"
"BAX","Health Care"
"BDX","Health Care"
"BBY","Consumer Discretionary"
"BIIB","Health Care"
"BLK","Financials"
"HRB","Financials"
"BA","Industrials"
"BWA","Consumer Discretionary"
"BXP","Real Estate"
"BSX","Health Care"
"BHF","Financials"
"BMY","Health Care"
"AVGO","Information Technology"
"CHRW","Industrials"
"CDNS","Information Technology"
"CPB","Consumer Staples"
"COF","Financials"
"CAH","Health Care"
"KMX","Consumer Discretionary"
"CCL","Consumer Discretionary"
"CAT","Industrials"
"CBOE","Financials"
"CNC","Health Care"
"CNP","Utilities"
"CERN","Health Care"
"CF","Materials"
"SCHW","Financials"
"CHTR","Consumer Discretionary"
"CVX","Energy"
"CMG","Consumer Discretionary"
"CB","Financials"
"CHD","Consumer Staples"
"CI","Health Care"
"CINF","Financials"
"CTAS","Industrials"
"CSCO","Information Technology"
"C","Financials"
"CFG","Financials"
"CTXS","Information Technology"
"CME","Financials"
"CMS","Utilities"
"KO","Consumer Staples"
"CTSH","Information Technology"
"CL","Consumer Staples"
"CMCSA","Consumer Discretionary"
"CMA","Financials"
"CAG","Consumer Staples"
"COP","Energy"
"ED","Utilities"
"STZ","Consumer Staples"
"GLW","Information Technology"
"COST","Consumer Staples"
"COTY","Consumer Staples"
"CCI","Real Estate"
"CSX","Industrials"
"CMI","Industrials"
"CVS","Consumer Staples"
"DHI","Consumer Discretionary"
"DHR","Health Care"
"DRI","Consumer Discretionary"
"DVA","Health Care"
"DE","Industrials"
"DAL","Industrials"
"XRAY","Health Care"
"DVN","Energy"
"DLR","Real Estate"
"DFS","Financials"
"DISCA","Consumer Discretionary"
"DISH","Consumer Discretionary"
"DG","Consumer Discretionary"
"DLTR","Consumer Discretionary"
"D","Utilities"
"DOV","Industrials"
"DTE","Utilities"
"DUK","Utilities"
"DRE","Real Estate"
"DXC","Information Technology"
"EMN","Materials"
"ETN","Industrials"
"EBAY","Information Technology"
"ECL","Materials"
"EIX","Utilities"
"EW","Health Care"
"EA","Information Technology"
"EMR","Industrials"
"ETR","Utilities"
"EOG","Energy"
"EQT","Energy"
"EFX","Industrials"
"EQIX","Real Estate"
"EQR","Real Estate"
"ESS","Real Estate"
"EL","Consumer Staples"
"RE","Financials"
"ES","Utilities"
"EXC","Utilities"
"EXPE","Consumer Discretionary"
"EXPD","Industrials"
"EXR","Real Estate"
"XOM","Energy"
"FFIV","Information Technology"
"FB","Information Technology"
"FAST","Industrials"
"FRT","Real Estate"
"FDX","Industrials"
"FIS","Information Technology"
"FITB","Financials"
"FE","Utilities"
"FISV","Information Technology"
"FLS","Industrials"
"FLR","Industrials"
"FMC","Materials"
"FL","Consumer Discretionary"
"F","Consumer Discretionary"
"FTV","Industrials"
"FBHS","Industrials"
"BEN","Financials"
"FCX","Materials"
"GPS","Consumer Discretionary"
"GRMN","Consumer Discretionary"
"IT","Information Technology"
"GD","Industrials"
"GE","Industrials"
"GIS","Consumer Staples"
"GM","Consumer Discretionary"
"GPC","Consumer Discretionary"
"GILD","Health Care"
"GPN","Information Technology"
"GS","Financials"
"GT","Consumer Discretionary"
"GWW","Industrials"
"HAL","Energy"
"HBI","Consumer Discretionary"
"HOG","Consumer Discretionary"
"HIG","Financials"
"HAS","Consumer Discretionary"
"HCA","Health Care"
"HP","Energy"
"HSIC","Health Care"
"HES","Energy"
"HPE","Information Technology"
"HLT","Consumer Discretionary"
"HOLX","Health Care"
"HD","Consumer Discretionary"
"HON","Industrials"
"HRL","Consumer Staples"
"HST","Real Estate"
"HPQ","Information Technology"
"HUM","Health Care"
"HBAN","Financials"
"HII","Industrials"
"IDXX","Health Care"
"ITW","Industrials"
"ILMN","Health Care"
"INCY","Health Care"
"IR","Industrials"
"INTC","Information Technology"
"ICE","Financials"
"IBM","Information Technology"
"IP","Materials"
"IPG","Consumer Discretionary"
"IFF","Materials"
"INTU","Information Technology"
"ISRG","Health Care"
"IVZ","Financials"
"IQV","Health Care"
"IRM","Real Estate"
"JBHT","Industrials"
"SJM","Consumer Staples"
"JNJ","Health Care"
"JCI","Industrials"
"JPM","Financials"
"JNPR","Information Technology"
"K","Consumer Staples"
"KEY","Financials"
"KMB","Consumer Staples"
"KIM","Real Estate"
"KMI","Energy"
"KLAC","Information Technology"
"KSS","Consumer Discretionary"
"KHC","Consumer Staples"
"KR","Consumer Staples"
"LLL","Industrials"
"LH","Health Care"
"LRCX","Information Technology"
"LEG","Consumer Discretionary"
"LEN","Consumer Discretionary"
"LLY","Health Care"
"LNC","Financials"
"LKQ","Consumer Discretionary"
"LMT","Industrials"
"L","Financials"
"LOW","Consumer Discretionary"
"LYB","Materials"
"MTB","Financials"
"MAC","Real Estate"
"M","Consumer Discretionary"
"MRO","Energy"
"MPC","Energy"
"MAR","Consumer Discretionary"
"MMC","Financials"
"MLM","Materials"
"MAS","Industrials"
"MA","Information Technology"
"MAT","Consumer Discretionary"
"MKC","Consumer Staples"
"MCD","Consumer Discretionary"
"MCK","Health Care"
"MDT","Health Care"
"MRK","Health Care"
"MET","Financials"
"MTD","Health Care"
"MGM","Consumer Discretionary"
"MCHP","Information Technology"
"MU","Information Technology"
"MSFT","Information Technology"
"MAA","Real Estate"
"MHK","Consumer Discretionary"
"TAP","Consumer Staples"
"MDLZ","Consumer Staples"
"MNST","Consumer Staples"
"MCO","Financials"
"MS","Financials"
"MSI","Information Technology"
"NDAQ","Financials"
"NOV","Energy"
"NAVI","Financials"
"NTAP","Information Technology"
"NFLX","Information Technology"
"NWL","Consumer Discretionary"
"NEM","Materials"
