name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"19,687,000,000","4,847,000,000","4,887,000,000","4,924,000,000","5,029,000,000","5,125,000,000","5,167,000,000","5,192,000,000","5,228,000,000","5,570,000,000","5,606,000,000","5,578,000,000","5,647,000,000","5,778,000,000","5,818,000,000","5,902,000,000","5,945,000,000","5,323,000,000","4,034,000,000","4,090,000,000","4,209,000,000","4,289,000,000","4,382,000,000","4,398,000,000","4,401,000,000","4,476,000,000","4,554,000,000","4,419,000,000","4,451,000,000","4,438,000,000","4,514,000,000","4,541,000,000","4,538,000,000","4,542,000,000","4,515,000,000","4,525,000,000","4,513,000,000","4,583,000,000","4,571,000,000","4,612,000,000","4,610,000,000","4,653,000,000","4,596,000,000","4,406,000,000","1,695,719,000","1,721,977,000","1,747,101,000","1,772,030,000","1,800,426,000","1,829,060,000","1,874,325,000","634,469,000","636,385,000","642,954,000","650,073,000","658,106,000","648,614,000","656,562,000","708,833,000","689,991,000","600,855,000","606,867,000","620,083,000","609,131,000","611,649,000","620,472,000","657,085,000","606,413,000","595,282,000","606,234,000","603,879,000","603,555,000","593,704,000","606,315,000","603,752,000","590,148,000","580,530,000","585,879,000","524,497,000","380,499,000","422,918,000","543,148,000","539,377,000","518,936,000","516,008,000","527,180,000","482,634,000","423,156,000","412,956,000","426,500,000","419,200,000","416,800,000","391,500,000","337,300,000","401,900,000","388,400,000","371,700,000","273,600,000","218,400,000","210,600,000","199,000,000","194,300,000","193,100,000","186,500,000","175,800,000","193,500,000","159,100,000","149,700,000","142,400,000","144,800,000","141,500,000","132,900,000","121,000,000","116,300,000","112,800,000","107,300,000","96,800,000","100,700,000","92,700,000","88,200,000","75,300,000","74,800,000","72,400,000","69,100,000","64,800,000","64,800,000","62,800,000","60,700,000","60,400,000","60,900,000","55,700,000","49,200,000","47,500,000","51,400,000","45,000,000","44,000,000","43,600,000","42,000,000","39,900,000","37,900,000","37,100,000","39,900,000","35,900,000","35,100,000","36,700,000"
	OperatingRevenue,"19,687,000,000","4,847,000,000","4,887,000,000","4,924,000,000","5,029,000,000","5,125,000,000","5,167,000,000","5,192,000,000","5,228,000,000","5,570,000,000","5,606,000,000","5,578,000,000","5,647,000,000","5,778,000,000","5,818,000,000","5,902,000,000","5,945,000,000","6,216,000,000","3,731,000,000","3,788,000,000","3,921,000,000","3,993,000,000","4,078,000,000","4,091,000,000","4,093,000,000","4,168,000,000","4,145,000,000","4,161,000,000","4,194,000,000","4,192,000,000","4,264,000,000","4,288,000,000","4,284,000,000","4,296,000,000","4,267,000,000","4,276,000,000","4,256,000,000","3,527,000,000","4,571,000,000","4,612,000,000","4,610,000,000","4,653,000,000","4,596,000,000","4,406,000,000","1,695,719,000","1,721,977,000","1,747,101,000","1,772,030,000","1,800,426,000","1,829,060,000","1,874,325,000","634,469,000","636,385,000","642,954,000","650,073,000","658,106,000","648,614,000","656,562,000","708,833,000","689,991,000","600,855,000","606,867,000","620,083,000","609,131,000","611,649,000","620,472,000","657,085,000","606,413,000","595,282,000","606,234,000","603,879,000","603,555,000","593,704,000","606,315,000","603,752,000","590,148,000","580,530,000","585,879,000","524,497,000","380,499,000","422,918,000","543,148,000","539,377,000","518,936,000","475,655,000","527,180,000","482,634,000","423,156,000","412,956,000","426,500,000","419,200,000","416,800,000","391,500,000","337,300,000","401,900,000","388,400,000","371,700,000","273,600,000","218,400,000","210,600,000","199,000,000","194,300,000","193,100,000","186,500,000","175,800,000","193,500,000","159,100,000","149,700,000","142,400,000","144,800,000","141,500,000","132,900,000","121,000,000","116,300,000","112,800,000","107,300,000","96,800,000","100,700,000","92,700,000","88,200,000","75,300,000","74,800,000","72,400,000","69,100,000","64,800,000","64,800,000","62,800,000","60,700,000","60,400,000","60,900,000","55,700,000","49,200,000","47,500,000","51,400,000","45,000,000","44,000,000","43,600,000","42,000,000","39,900,000","37,900,000","37,100,000","39,900,000","35,900,000","35,100,000","36,700,000"
CostOfRevenue,"8,488,000,000","2,086,000,000","2,151,000,000","2,115,000,000","2,136,000,000","2,231,000,000","2,236,000,000","2,232,000,000","2,235,000,000","2,521,000,000","2,590,000,000","2,446,000,000","2,520,000,000","2,657,000,000","2,672,000,000","2,730,000,000","2,803,000,000","2,498,000,000","1,927,000,000","1,890,000,000","1,888,000,000","1,929,000,000","1,996,000,000","1,949,000,000","1,900,000,000","1,915,000,000","1,993,000,000","1,959,000,000","1,911,000,000","1,974,000,000","1,975,000,000","1,962,000,000","1,935,000,000","1,920,000,000","1,918,000,000","1,873,000,000","1,796,000,000","1,907,000,000","1,943,000,000","1,912,000,000","1,877,000,000","1,968,000,000","1,950,000,000","1,781,000,000","594,455,000","595,975,000","605,548,000","589,420,000","619,105,000","596,859,000","684,865,000","235,732,000","234,631,000","235,792,000","242,243,000","239,626,000","237,812,000","251,026,000","246,430,000","226,388,000","213,531,000","222,165,000","226,831,000","216,466,000","222,952,000","212,339,000","222,724,000","194,873,000","191,993,000","192,638,000","191,000,000","190,226,000","181,549,000","300,873,000","296,114,000","284,962,000","277,759,000","267,613,000","259,267,000","235,167,000","211,642,000","276,906,000","275,357,000","267,535,000","266,368,000","267,404,000","235,835,000","212,495,000","216,723,000","221,200,000","204,800,000","200,100,000","193,700,000","208,700,000","192,200,000","185,400,000","182,400,000","145,000,000","111,500,000","111,800,000","106,000,000","107,600,000","100,800,000","96,400,000","89,600,000","116,900,000","72,500,000","72,000,000","66,900,000","72,300,000","70,000,000","66,400,000","60,700,000","62,100,000","56,600,000","54,700,000","49,000,000","50,100,000","45,400,000","43,500,000","37,500,000","36,500,000","38,200,000","37,400,000","36,400,000","34,800,000","34,200,000","33,200,000","33,300,000","32,200,000","30,600,000","27,800,000",,,,,,,,,,,,,
GrossProfit,"11,199,000,000","2,761,000,000","2,736,000,000","2,809,000,000","2,893,000,000","2,894,000,000","2,931,000,000","2,960,000,000","2,993,000,000","3,049,000,000","3,016,000,000","3,132,000,000","3,127,000,000","3,121,000,000","3,146,000,000","3,172,000,000","3,142,000,000","2,825,000,000","2,107,000,000","2,200,000,000","2,321,000,000","2,360,000,000","2,386,000,000","2,449,000,000","2,501,000,000","2,561,000,000","2,561,000,000","2,460,000,000","2,540,000,000","2,464,000,000","2,539,000,000","2,579,000,000","2,603,000,000","2,622,000,000","2,597,000,000","2,652,000,000","2,717,000,000","2,676,000,000","2,628,000,000","2,700,000,000","2,733,000,000","2,685,000,000","2,646,000,000","2,625,000,000","1,101,264,000","1,126,002,000","1,141,553,000","1,182,610,000","1,181,321,000","1,232,201,000","1,189,460,000","398,737,000","401,754,000","407,162,000","407,830,000","418,480,000","410,802,000","405,536,000","462,403,000","463,603,000","387,324,000","384,702,000","393,252,000","392,665,000","388,697,000","408,133,000","434,361,000","411,540,000","403,289,000","413,596,000","412,879,000","413,329,000","412,155,000","305,442,000","307,638,000","305,186,000","302,771,000","318,266,000","265,230,000","145,332,000","211,276,000","266,242,000","264,020,000","251,401,000","249,640,000","259,776,000","246,799,000","210,661,000","196,233,000","205,300,000","214,400,000","216,700,000","197,800,000","128,600,000","209,700,000","203,000,000","189,300,000","128,600,000","106,900,000","98,800,000","93,000,000","86,700,000","92,300,000","90,100,000","86,200,000","76,600,000","86,600,000","77,700,000","75,500,000","72,500,000","71,500,000","66,500,000","60,300,000","54,200,000","56,200,000","52,600,000","47,800,000","50,600,000","47,300,000","44,700,000","37,800,000","38,300,000","34,200,000","31,700,000","28,400,000","30,000,000","28,600,000","27,500,000","27,100,000","28,700,000","25,100,000","21,400,000",,,,,,,,,,,,,
OperatingExpense,"6,914,000,000","1,600,000,000","1,605,000,000","1,803,000,000","1,906,000,000","2,061,000,000","2,043,000,000","2,057,000,000","2,013,000,000","2,202,000,000","2,066,000,000","2,156,000,000","2,120,000,000","2,236,000,000","2,252,000,000","2,405,000,000","2,392,000,000","2,301,000,000","1,620,000,000","1,833,000,000","1,690,000,000","1,968,000,000","1,791,000,000","1,799,000,000","1,807,000,000","1,810,000,000","1,905,000,000","1,911,000,000","1,891,000,000","1,981,000,000","1,920,000,000","1,924,000,000","1,950,000,000","1,989,000,000","2,182,000,000","1,937,000,000","1,935,000,000","2,010,000,000","1,892,000,000","2,043,000,000","2,079,000,000","2,155,000,000","2,095,000,000","2,166,000,000","636,966,000","639,631,000","636,198,000","659,622,000","636,091,000","691,863,000","810,477,000","249,294,000","237,417,000","230,720,000","227,103,000","237,790,000","227,309,000","236,562,000","238,218,000","231,767,000","219,241,000","211,805,000","224,052,000","227,416,000","230,505,000","235,714,000","233,119,000","225,658,000","226,429,000","223,980,000","222,010,000","223,418,000","228,598,000","118,981,000","116,857,000","116,805,000","117,998,000","129,156,000","107,514,000","35,801,000","92,227,000","121,547,000","120,209,000","116,196,000","115,432,000","117,736,000","99,740,000","85,769,000","84,811,000","88,500,000","84,300,000","86,000,000","90,000,000","86,300,000","81,600,000","81,500,000","79,200,000","50,800,000","37,100,000","36,300,000","35,300,000","35,500,000","33,300,000","32,400,000","30,700,000","25,300,000","31,600,000","28,900,000","28,000,000","26,500,000","25,700,000","24,800,000","24,400,000","22,500,000","22,700,000","21,300,000","19,700,000","19,500,000","18,100,000","18,100,000","15,100,000","15,700,000","14,300,000","14,200,000","13,200,000","13,800,000","12,800,000","13,100,000","12,800,000","14,900,000","11,300,000","9,800,000",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,895,000,000","723,000,000","654,000,000","762,000,000","756,000,000","866,000,000","850,000,000","895,000,000","853,000,000","992,000,000","831,000,000","960,000,000","932,000,000","974,000,000","967,000,000","1,115,000,000","1,109,000,000","1,104,000,000","710,000,000","884,000,000","810,000,000","1,010,000,000","796,000,000","812,000,000","831,000,000","757,000,000","857,000,000","863,000,000","851,000,000","850,000,000","823,000,000","831,000,000","843,000,000","823,000,000","1,047,000,000","814,000,000","818,000,000","790,000,000","748,000,000","835,000,000","871,000,000","900,000,000","870,000,000","968,000,000","268,419,000","275,058,000","278,331,000","301,671,000","282,929,000","335,479,000","448,275,000","120,742,000","109,845,000","101,924,000","98,751,000","106,836,000","91,625,000","99,008,000","101,612,000","97,456,000","91,457,000","84,524,000","94,212,000","95,596,000","95,940,000","99,936,000","99,593,000","95,206,000","94,254,000","94,676,000","108,153,000","92,667,000","101,606,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,"654,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,"32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"654,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,019,000,000","877,000,000","951,000,000","1,041,000,000","1,150,000,000","1,195,000,000","1,193,000,000","1,162,000,000","1,160,000,000","1,210,000,000","1,235,000,000","1,196,000,000","1,188,000,000","1,262,000,000","1,285,000,000","1,290,000,000","1,283,000,000","1,197,000,000","910,000,000","949,000,000","880,000,000","958,000,000","995,000,000","987,000,000","976,000,000","1,053,000,000","1,048,000,000","1,048,000,000","1,040,000,000","1,131,000,000","1,097,000,000","1,093,000,000","1,107,000,000","1,166,000,000","1,135,000,000","1,123,000,000","1,117,000,000","1,220,000,000","1,144,000,000","1,208,000,000","1,208,000,000","1,255,000,000","1,225,000,000","1,198,000,000","368,547,000","364,573,000","357,867,000","357,951,000","353,162,000","356,384,000","362,202,000","128,552,000","127,572,000","128,796,000","128,352,000","130,954,000","135,684,000","137,554,000","136,606,000","134,311,000","127,784,000","127,281,000","129,840,000","131,820,000","134,565,000","135,778,000","133,526,000","130,452,000","132,175,000","129,304,000","113,857,000","130,751,000","126,992,000","118,981,000","116,857,000","116,805,000","117,998,000","117,881,000","107,514,000","94,004,000","92,227,000","121,547,000","120,209,000","116,196,000","115,432,000","117,736,000","99,740,000","85,769,000","84,811,000","88,500,000","84,300,000","86,000,000","90,000,000","86,300,000","81,600,000","81,500,000","79,200,000","50,800,000","37,100,000","36,300,000","35,300,000","35,500,000","33,300,000","32,400,000","30,700,000","25,300,000","31,600,000","28,900,000","28,000,000","26,500,000","25,700,000","24,800,000","24,400,000","22,500,000","22,700,000","21,300,000","19,700,000","19,500,000","18,100,000","18,100,000","15,100,000","15,700,000","14,300,000","14,200,000","13,200,000","13,800,000","12,800,000","13,100,000","12,800,000","14,900,000","11,300,000","9,800,000",,,,,,,,,,,,,
